ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
96.33%	11.1304	26247954	66197471937
96.32%	11.0108	26173910	66190599989
96.31%	11.0108	26100268	66183728042
96.30%	10.8936	26027024	66176856094
96.29%	10.8936	25954175	66169984146
96.28%	10.7789	25881718	66163112199
96.27%	10.7789	25809649	66156240251
96.26%	10.6667	25737965	66149368303
96.25%	10.6667	25666664	66142496356
96.24%	10.5567	25595742	66135624408
96.23%	10.5567	25525196	66128752460
96.22%	10.4490	25455024	66121880513
96.21%	10.4490	25385221	66115008565
96.20%	10.3434	25315787	66108136617
96.19%	10.3434	25246716	66101264670
96.18%	10.2400	25178008	66094392722
96.17%	10.2400	25109658	66087520774
96.16%	10.1386	25041664	66080648827
96.15%	10.1386	24974023	66073776879
96.14%	10.0392	24906733	66066904931
96.13%	10.0392	24839790	66060032984
96.12%	9.9417	24773193	66053161036
96.11%	9.9417	24706938	66046289088
96.10%	9.8462	24641023	66039417141
96.09%	9.7524	24575445	66032545193
96.08%	9.7524	24510201	66025673245
96.07%	9.6604	24445290	66018801298
96.06%	9.6604	24380708	66011929350
96.05%	9.5701	24316453	66005057402
96.04%	9.5701	24252522	65998185455
96.03%	9.4815	24188914	65991313507
96.02%	9.4815	24125625	65984441559
96.01%	9.3945	24062654	65977569612
96.00%	9.3945	23999997	65970697664
95.99%	9.3091	23937653	65963825716
95.98%	9.3091	23875619	65956953769
95.97%	9.2252	23813893	65950081821
95.96%	9.1429	23752472	65943209873
95.95%	9.1429	23691355	65936337926
95.94%	9.0619	23630539	65929465978
95.93%	9.0619	23570022	65922594030
95.92%	8.9825	23509801	65915722083
95.91%	8.9825	23449875	65908850135
95.90%	8.9043	23390241	65901978187
95.89%	8.8276	23330897	65895106240
95.88%	8.8276	23271842	65888234292
95.87%	8.7521	23213072	65881362344
95.86%	8.7521	23154586	65874490396
95.85%	8.6780	23096383	65867618449
95.84%	8.6780	23038458	65860746501
95.83%	8.6050	22980812	65853874553
95.82%	8.5333	22923442	65847002606
95.81%	8.5333	22866345	65840130658
95.80%	8.4628	22809521	65833258710
95.79%	8.4628	22752966	65826386763
95.78%	8.3934	22696679	65819514815
95.77%	8.3934	22640659	65812642867
95.76%	8.3252	22584903	65805770920
95.75%	8.2581	22529409	65798898972
95.74%	8.2581	22474175	65792027024
95.73%	8.1920	22419201	65785155077
95.72%	8.1920	22364483	65778283129
95.71%	8.1270	22310020	65771411181
95.70%	8.0630	22255811	65764539234
95.69%	8.0630	22201853	65757667286
95.68%	8.0000	22148145	65750795338
95.67%	8.0000	22094685	65743923391
95.66%	7.9380	22041471	65737051443
95.65%	7.9380	21988503	65730179495
95.64%	7.8769	21935777	65723307548
95.63%	7.8168	21883292	65716435600
95.62%	7.8168	21831047	65709563652
95.61%	7.7576	21779040	65702691705
95.60%	7.7576	21727270	65695819757
